iteration,total_loss,policy_loss,value_loss,buffer_size,games_played,eval_win_rate,promoted,elapsed_sec
1,2.112606,1.781813,0.330793,2041,25,1.0000,1,3024.7
2,1.881271,1.697677,0.183594,3883,25,0.7500,1,3128.7
3,1.798283,1.637786,0.160496,5644,25,0.0000,0,2219.8
4,1.710843,1.594451,0.116392,7387,25,0.0000,0,2972.4
5,1.720281,1.591276,0.129006,8754,25,0.5000,0,2689.5
6,1.728766,1.597411,0.131356,10355,25,0.0000,0,3161.7
7,1.703897,1.575009,0.128888,12518,25,0.5000,0,2863.1
8,1.698524,1.568107,0.130416,14591,25,0.0000,0,4081.7
9,1.692612,1.564657,0.127956,16294,25,0.2500,0,3793.3
10,1.699073,1.566633,0.132440,18173,25,0.0000,0,2858.8
1,2.054233,1.781804,0.272429,1743,30,0.5000,1,2756.5
2,1.984594,1.698783,0.285811,3915,30,0.0000,0,3211.5
